Junction ID,Resiliency Technique,Resiliency Approach,Security Control ID (from Junction - 800-53r5/800-160v2 copy copy copy) (from Resiliency Technique)
3,Adaptive Response,Adaptive Management,"AC-02-06,AC-02-08,AC-04-03,AU-05-03,AU-06-00,AU-13-00,CP-02-05,CP-12-00,CP-13-00,IA-10-00,IR-04-02,IR-04-03,IR-04-09,IR-04-11,PE-06-02,RA-03-03,SA-08-16,SC-05-02,SC-07-20,SC-36-01,SI-04-03,SI-04-07,SI-07-05"
23,Diversity,Architectural Diversity,"AC-04-27,AC-04-30,AC-07-04,AU-09-07,CP-08-03,CP-11-00,CP-13-00,IA-02-06,IA-02-13,PL-08-02,SA-17-09,SC-27-00,SC-29-00,SC-29-01,SC-37-00,SC-47-00,SI-16-00,SI-22-00,SR-03-01,SR-03-02,SR-05-01"
45,Dynamic Positioning,Asset Mobility,"IR-04-02,SA-08-17,SC-07-16,SC-30-03,SC-36-00,SC-48-00,SC-48-01,SI-23-00"
8,Privilege Restriction,Attribute-Based Usage Restriction,"AC-02-06,AC-02-08,AC-03-02,AC-03-07,AC-03-11,AC-03-12,AC-03-13,AC-06-00,AC-06-01,AC-06-02,AC-06-03,AC-06-04,AC-06-05,AC-06-06,AC-06-07,AC-06-08,AC-06-10,AC-23-00,AU-09-05,AU-09-06,CM-05-04,CM-05-05,CM-05-06,CM-07-05,CM-07-06,CP-09-07,IA-10-00,RA-05-05,SA-08-15,SA-08-18,SC-07-15"
4,Substantiated Integrity,Behavior Validation,"AC-02-12,AC-04-08,AC-04-12,AC-04-17,AU-06-00,AU-09-01,AU-09-03,AU-09-06,AU-10-02,CM-14-00,CP-09-01,CP-09-08,IA-03-01,IR-04-13,PE-03-05,PM-30-01,SA-08-16,SA-08-19,SA-09-07,SC-07-11,SC-08-01,SC-08-05,SC-11-00,SC-16-01,SC-16-03,SC-28-01,SC-34-00,SC-34-02,SC-36-01,SC-51-00,SI-04-02,SI-04-04,SI-04-13,SI-06-00,SI-07-00,SI-07-01,SI-07-05,SI-07-06,SI-07-07,SI-07-09,SI-07-10,SI-07-12,SI-07-15,SI-10-03,SI-10-05,SI-14-01,SI-15-00,SR-04-00,SR-04-01,SR-04-02,SR-04-03,SR-04-04,SR-05-00,SR-09-00,SR-09-01,SR-10-00,SR-11-00,SR-11-03"
31,Coordinated Protection,Calibrated Defense-in-Depth,"AC-04-29,AC-06-07,AT-02-01,AT-03-03,CA-07-05,CA-08-00,CA-08-01,CA-08-02,CA-08-03,CP-02-01,CP-02-05,CP-04-05,CP-09-01,IA-02-06,IA-02-13,IA-10-00,IR-04-03,IR-04-04,IR-04-10,IR-04-11,PE-06-02,PE-06-04,PL-08-01,SA-08-03,SA-08-04,SA-08-08,SA-11-05,SA-17-08,SC-03-05,SC-07-10,SC-36-02,SI-19-08,SR-06-01"
17,Coordinated Protection,Consistency Analysis,"AC-04-29,AC-06-07,AT-02-01,AT-03-03,CA-07-05,CA-08-00,CA-08-01,CA-08-02,CA-08-03,CP-02-01,CP-02-05,CP-04-05,CP-09-01,IA-02-06,IA-02-13,IA-10-00,IR-04-03,IR-04-04,IR-04-10,IR-04-11,PE-06-02,PE-06-04,PL-08-01,SA-08-03,SA-08-04,SA-08-08,SA-11-05,SA-17-08,SC-03-05,SC-07-10,SC-36-02,SI-19-08,SR-06-01"
50,Uncertainty,Contextual Uncertainty,SI-19-06
43,Unpredictability,Contextual Unpredictability,"SC-08-04,SC-23-03,SC-30-02,SC-30-03,SC-40-03,SI-16-00"
12,Diversity,Design Diversity,"AC-04-27,AC-04-30,AC-07-04,AU-09-07,CP-08-03,CP-11-00,CP-13-00,IA-02-06,IA-02-13,PL-08-02,SA-17-09,SC-27-00,SC-29-00,SC-29-01,SC-37-00,SC-47-00,SI-16-00,SI-22-00,SR-03-01,SR-03-02,SR-05-01"
